age;workclass;final_weight;education;education_num;marital_status;occupation;relationship;race;sex;capital_gain;capital_loss;hours_per_week;native_country;class
24,37;Non-Government;167350;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;*;Male;3103;0;40;*;>50K
24,37;Non-Government;194426;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;15024;0;40;*;>50K
24,37;Non-Government;173005;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;50;*;>50K
24,37;Non-Government;177675;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
24,37;Non-Government;175759;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
24,37;Non-Government;134890;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
24,37;Non-Government;122616;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;84;*;>50K
24,37;Non-Government;241998;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;50;*;>50K
24,37;Non-Government;394927;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
24,37;Non-Government;84547;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
24,37;Non-Government;175856;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;1902;40;*;>50K
24,37;Non-Government;114982;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
24,37;Non-Government;241998;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;1977;40;*;>50K
24,37;Non-Government;161027;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;5178;0;40;*;>50K
24,37;Non-Government;55176;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
24,37;Non-Government;105138;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
24,37;Non-Government;58343;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;3103;0;42;*;>50K
24,37;Non-Government;288566;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;43;*;>50K
24,37;Non-Government;607848;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
24,37;Non-Government;198265;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;*;Male;3103;0;40;*;>50K
24,37;Non-Government;244721;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;35;*;>50K
24,37;Non-Government;173279;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
24,37;Non-Government;186213;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;50;*;>50K
24,37;Non-Government;209449;Undergraduate;10;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
24,37;Non-Government;207352;Undergraduate;13;Married-civ-spouse;Tech-support;Husband;*;Male;0;0;40;*;>50K
25,34;Non-Government;199765;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;7688;0;50;*;>50K
25,34;Non-Government;228472;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;45;*;>50K
25,34;Non-Government;176729;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;60;*;>50K
25,34;Non-Government;176972;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;45;*;>50K
25,34;Non-Government;84619;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,34;Non-Government;202729;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,34;Non-Government;145139;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,34;Non-Government;198664;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;15024;0;70;*;>50K
25,34;Non-Government;163110;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;45;*;>50K
25,34;Non-Government;270421;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;50;*;>50K
25,34;Non-Government;293690;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;58;*;>50K
25,34;Non-Government;164197;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;44;*;>50K
25,34;Non-Government;154568;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;36;*;>50K
25,34;Non-Government;574005;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;44;*;>50K
25,34;Non-Government;186824;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,34;Non-Government;117963;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,31;Non-Government;207201;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,31;Non-Government;38918;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;50;*;>50K
25,31;Non-Government;159187;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,31;Non-Government;226443;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;55;*;>50K
25,31;Non-Government;188675;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,31;Non-Government;149324;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;1485;40;*;>50K
25,31;Non-Government;190636;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;1485;60;*;>50K
25,31;Non-Government;196385;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;45;*;>50K
25,31;Non-Government;209205;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;7298;0;40;*;>50K
25,31;Non-Government;224215;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,31;Non-Government;231413;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,31;Non-Government;240771;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;4386;0;50;*;>50K
25,31;Non-Government;308540;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,31;Non-Government;238964;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;60;*;>50K
25,31;Non-Government;222539;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;40;*;>50K
25,31;Non-Government;172304;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;0;0;50;*;>50K
25,31;Non-Government;259299;Some-college;10;Married-civ-spouse;Craft-repair;Husband;*;Male;3103;0;50;*;>50K
