age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;salary-class
*;*;132870;*;9;*;*;Not-in-family;*;*;0;4356;18;*;*
[41, 60];Non-Government;140359;Secondary education;4;Divorced;Technical;Unmarried;White;Female;0;3900;40;North America;<=50K
[41, 60];Non-Government;264663;Higher education;10;Separated;Technical;Own-child;White;Female;0;3900;40;North America;<=50K
[21, 40];Non-Government;216864;Secondary education;9;Divorced;Other;Unmarried;White;Female;0;3770;45;North America;<=50K
[21, 40];Non-Government;150601;Secondary education;6;Separated;Other;Unmarried;White;Male;0;3770;40;North America;<=50K
*;*;88638;*;16;*;*;Other-relative;*;*;0;3683;20;*;*
*;*;422013;*;9;*;*;Not-in-family;*;*;0;3683;40;*;*
*;*;172274;*;16;*;*;Unmarried;*;*;0;3004;35;*;*
[21, 40];Non-Government;164526;Higher education;15;Never-married;Technical;Not-in-family;White;Male;0;2824;45;North America;>50K
*;*;129177;*;13;*;*;Not-in-family;*;*;0;2824;20;*;*
*;*;136204;*;14;*;*;Not-in-family;*;*;0;2824;55;*;*
[41, 60];Non-Government;45363;Higher education;15;Divorced;Technical;Not-in-family;White;Male;0;2824;40;North America;>50K
*;*;172822;*;7;*;*;Not-in-family;*;*;0;2824;76;*;*
[41, 60];Non-Government;317847;Higher education;14;Divorced;Nontechnical;Not-in-family;White;Male;0;2824;50;North America;>50K
*;*;203034;*;13;*;*;Not-in-family;*;*;0;2824;50;*;*
[21, 40];Non-Government;188774;Higher education;13;Never-married;Nontechnical;Not-in-family;White;Male;0;2824;40;North America;>50K
[21, 40];Non-Government;77009;Secondary education;7;Separated;Nontechnical;Not-in-family;White;Female;0;2754;42;North America;<=50K
[61, 80];Non-Government;29059;Secondary education;9;Divorced;Nontechnical;Unmarried;White;Female;0;2754;25;North America;<=50K
[41, 60];Non-Government;153870;Higher education;10;Married-civ-spouse;Other;Husband;White;Male;0;2603;40;North America;<=50K
[21, 40];Non-Government;34310;Higher education;11;Married-civ-spouse;Technical;Husband;White;Male;0;2603;40;North America;<=50K
[21, 40];Non-Government;228696;Primary education;2;Married-civ-spouse;Technical;Not-in-family;White;Male;0;2603;32;North America;<=50K
*;*;122066;*;3;*;*;Husband;*;*;0;2603;40;*;*
*;*;107164;*;6;*;*;Not-in-family;*;*;0;2559;50;*;*
[21, 40];Non-Government;175360;Secondary education;6;Never-married;Technical;Not-in-family;White;Male;0;2559;90;North America;>50K
*;*;44064;*;10;*;*;Not-in-family;*;*;0;2559;40;*;*
*;*;107287;*;6;*;*;Unmarried;*;*;0;2559;50;*;*
[41, 60];Non-Government;198863;Higher education;15;Divorced;Nontechnical;Not-in-family;White;Male;0;2559;60;North America;>50K
[41, 60];Non-Government;123011;Higher education;13;Divorced;Nontechnical;Not-in-family;White;Male;0;2559;50;North America;>50K
*;*;205246;*;9;*;*;Not-in-family;*;*;0;2559;50;*;*
*;*;39181;*;16;*;*;Not-in-family;*;*;0;2559;60;*;*
*;*;149650;*;9;*;*;Not-in-family;*;*;0;2559;48;*;*
[41, 60];Non-Government;197163;Higher education;15;Never-married;Technical;Not-in-family;White;Female;0;2559;50;North America;>50K
[21, 40];Non-Government;137527;Higher education;16;Never-married;Technical;Not-in-family;White;Female;0;2559;60;North America;>50K
[41, 60];Non-Government;161691;Higher education;14;Divorced;Technical;Not-in-family;White;Female;0;2559;40;North America;>50K
[41, 60];Non-Government;326232;Higher education;13;Divorced;Nontechnical;Unmarried;White;Male;0;2547;50;North America;>50K
[41, 60];Non-Government;115806;Higher education;14;Divorced;Nontechnical;Unmarried;White;Female;0;2547;40;North America;>50K
*;*;115066;*;10;*;*;Unmarried;*;*;0;2547;40;*;*
[41, 60];Non-Government;289669;Higher education;14;Divorced;Technical;Unmarried;White;Female;0;2547;40;North America;>50K
*;*;121253;*;13;*;*;Unmarried;*;*;0;2472;70;*;*
[61, 80];Non-Government;110380;Secondary education;9;Married-civ-spouse;Nontechnical;Husband;White;Male;0;2467;52;North America;<=50K
*;*;233882;*;9;*;*;Husband;*;*;0;2457;40;*;*
[21, 40];Non-Government;335549;Higher education;15;Never-married;Technical;Not-in-family;White;Male;0;2444;45;North America;>50K
*;*;237729;*;9;*;*;Not-in-family;*;*;0;2444;72;*;*
[41, 60];Government;68898;Higher education;11;Divorced;Technical;Not-in-family;White;Male;0;2444;39;North America;>50K
*;*;107276;*;10;*;*;Not-in-family;*;*;0;2444;40;*;*
[21, 40];Non-Government;141584;Higher education;14;Never-married;Nontechnical;Not-in-family;White;Male;0;2444;45;North America;>50K
[21, 40];Non-Government;207668;Higher education;13;Never-married;Nontechnical;Other-relative;White;Male;0;2444;50;North America;>50K
*;*;313243;*;10;*;*;Not-in-family;*;*;0;2444;45;*;*
*;*;147372;*;10;*;*;Not-in-family;*;*;0;2444;40;*;*
[21, 40];Non-Government;237608;Higher education;13;Never-married;Nontechnical;Not-in-family;White;Female;0;2444;45;North America;>50K
*;*;194901;*;11;*;*;Not-in-family;*;*;0;2444;42;*;*
[41, 60];Non-Government;155106;Higher education;12;Divorced;Technical;Not-in-family;White;Male;0;2444;70;North America;>50K
*;*;121441;*;7;*;*;Other-relative;*;*;0;2444;40;*;*
[41, 60];Non-Government;162028;Higher education;10;Married-civ-spouse;Other;Wife;White;Female;0;2415;6;North America;>50K
[41, 60];Non-Government;160724;Higher education;13;Married-civ-spouse;Nontechnical;Husband;Asian-Pac-Islander;Male;0;2415;40;Asia;>50K
[41, 60];Non-Government;132222;Higher education;15;Married-civ-spouse;Technical;Husband;White;Male;0;2415;40;North America;>50K
[21, 40];Non-Government;329980;Higher education;14;Married-civ-spouse;Nontechnical;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Non-Government;124137;Higher education;15;Married-civ-spouse;Technical;Husband;White;Male;0;2415;35;Europe;>50K
[21, 40];Non-Government;329980;Higher education;13;Married-civ-spouse;Nontechnical;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Non-Government;187702;Higher education;15;Married-civ-spouse;Technical;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Non-Government;199029;Higher education;13;Married-civ-spouse;Nontechnical;Husband;White;Male;0;2415;55;North America;>50K
[41, 60];Non-Government;145290;Secondary education;9;Married-civ-spouse;Nontechnical;Husband;White;Male;0;2415;50;North America;>50K
