age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;salary-class
*;*;132870;*;9;*;*;Not-in-family;*;*;0;4356;18;*;*
[41, 60];Private;140359;Secondary education;4;Divorced;*;Unmarried;White;Female;0;3900;40;North America;<=50K
[41, 60];Private;264663;Higher education;10;Separated;*;Own-child;White;Female;0;3900;40;North America;<=50K
[21, 40];Private;216864;Secondary education;9;Divorced;*;Unmarried;White;Female;0;3770;45;North America;<=50K
[21, 40];Private;150601;Secondary education;6;Separated;*;Unmarried;White;Male;0;3770;40;North America;<=50K
*;*;88638;*;16;*;*;Other-relative;*;*;0;3683;20;*;*
*;*;422013;*;9;*;*;Not-in-family;*;*;0;3683;40;*;*
[41, 60];Private;172274;Higher education;16;Divorced;*;Unmarried;Black;Female;0;3004;35;North America;>50K
[21, 40];Self-emp-not-inc;164526;Higher education;15;Never-married;*;Not-in-family;White;Male;0;2824;45;North America;>50K
[41, 60];Private;129177;Higher education;13;Widowed;*;Not-in-family;White;Female;0;2824;20;North America;>50K
[21, 40];Private;136204;Higher education;14;Separated;*;Not-in-family;White;Male;0;2824;55;North America;>50K
[41, 60];Private;45363;Higher education;15;Divorced;*;Not-in-family;White;Male;0;2824;40;North America;>50K
[41, 60];Private;172822;Secondary education;7;Divorced;*;Not-in-family;White;Male;0;2824;76;North America;>50K
[41, 60];Private;317847;Higher education;14;Divorced;*;Not-in-family;White;Male;0;2824;50;North America;>50K
[21, 40];Private;203034;Higher education;13;Separated;*;Not-in-family;White;Male;0;2824;50;North America;>50K
[21, 40];Private;188774;Higher education;13;Never-married;*;Not-in-family;White;Male;0;2824;40;North America;>50K
[21, 40];Private;77009;Secondary education;7;Separated;*;Not-in-family;White;Female;0;2754;42;North America;<=50K
[61, 80];Private;29059;Secondary education;9;Divorced;*;Unmarried;White;Female;0;2754;25;North America;<=50K
[41, 60];Private;153870;Higher education;10;Married-civ-spouse;*;Husband;White;Male;0;2603;40;North America;<=50K
[21, 40];Private;34310;Higher education;11;Married-civ-spouse;*;Husband;White;Male;0;2603;40;North America;<=50K
[21, 40];Private;228696;Primary education;2;Married-civ-spouse;*;Not-in-family;White;Male;0;2603;32;North America;<=50K
[41, 60];Private;122066;Primary education;3;Married-civ-spouse;*;Husband;White;Male;0;2603;40;Europe;<=50K
*;*;107164;*;6;*;*;Not-in-family;*;*;0;2559;50;*;*
[21, 40];Private;175360;Secondary education;6;Never-married;*;Not-in-family;White;Male;0;2559;90;North America;>50K
[21, 40];Private;44064;Higher education;10;Separated;*;Not-in-family;White;Male;0;2559;40;North America;>50K
*;*;107287;*;6;*;*;Unmarried;*;*;0;2559;50;*;*
[41, 60];Private;198863;Higher education;15;Divorced;*;Not-in-family;White;Male;0;2559;60;North America;>50K
[41, 60];Private;123011;Higher education;13;Divorced;*;Not-in-family;White;Male;0;2559;50;North America;>50K
*;*;205246;*;9;*;*;Not-in-family;*;*;0;2559;50;*;*
*;*;39181;*;16;*;*;Not-in-family;*;*;0;2559;60;*;*
[41, 60];Private;149650;Secondary education;9;Never-married;*;Not-in-family;White;Male;0;2559;48;North America;>50K
[41, 60];Private;197163;Higher education;15;Never-married;*;Not-in-family;White;Female;0;2559;50;North America;>50K
*;*;137527;*;16;*;*;Not-in-family;*;*;0;2559;60;*;*
[41, 60];Private;161691;Higher education;14;Divorced;*;Not-in-family;White;Female;0;2559;40;North America;>50K
[41, 60];Private;326232;Higher education;13;Divorced;*;Unmarried;White;Male;0;2547;50;North America;>50K
[41, 60];Private;115806;Higher education;14;Divorced;*;Unmarried;White;Female;0;2547;40;North America;>50K
[41, 60];Private;115066;Higher education;10;Divorced;*;Unmarried;White;Female;0;2547;40;North America;>50K
[41, 60];Private;289669;Higher education;14;Divorced;*;Unmarried;White;Female;0;2547;40;North America;>50K
*;*;121253;*;13;*;*;Unmarried;*;*;0;2472;70;*;*
[61, 80];Private;110380;Secondary education;9;Married-civ-spouse;*;Husband;White;Male;0;2467;52;North America;<=50K
*;*;233882;*;9;*;*;Husband;*;*;0;2457;40;*;*
[21, 40];Self-emp-not-inc;335549;Higher education;15;Never-married;*;Not-in-family;White;Male;0;2444;45;North America;>50K
*;*;237729;*;9;*;*;Not-in-family;*;*;0;2444;72;*;*
[41, 60];State-gov;68898;Higher education;11;Divorced;*;Not-in-family;White;Male;0;2444;39;North America;>50K
[41, 60];Private;107276;Higher education;10;Never-married;*;Not-in-family;White;Female;0;2444;40;North America;>50K
[21, 40];Private;141584;Higher education;14;Never-married;*;Not-in-family;White;Male;0;2444;45;North America;>50K
[21, 40];Private;207668;Higher education;13;Never-married;*;Other-relative;White;Male;0;2444;50;North America;>50K
[41, 60];Private;313243;Higher education;10;Separated;*;Not-in-family;White;Male;0;2444;45;North America;>50K
[21, 40];Local-gov;147372;Higher education;10;Never-married;*;Not-in-family;White;Male;0;2444;40;North America;>50K
[21, 40];Private;237608;Higher education;13;Never-married;*;Not-in-family;White;Female;0;2444;45;North America;>50K
[21, 40];Private;194901;Higher education;11;Separated;*;Not-in-family;White;Male;0;2444;42;North America;>50K
[41, 60];Private;155106;Higher education;12;Divorced;*;Not-in-family;White;Male;0;2444;70;North America;>50K
*;*;121441;*;7;*;*;Other-relative;*;*;0;2444;40;*;*
[41, 60];Private;162028;Higher education;10;Married-civ-spouse;*;Wife;White;Female;0;2415;6;North America;>50K
[41, 60];Self-emp-not-inc;160724;Higher education;13;Married-civ-spouse;*;Husband;Asian-Pac-Islander;Male;0;2415;40;Asia;>50K
[41, 60];Private;132222;Higher education;15;Married-civ-spouse;*;Husband;White;Male;0;2415;40;North America;>50K
[21, 40];Private;329980;Higher education;14;Married-civ-spouse;*;Husband;White;Male;0;2415;60;North America;>50K
*;*;124137;*;15;*;*;Husband;*;*;0;2415;35;*;*
[21, 40];Self-emp-inc;329980;Higher education;13;Married-civ-spouse;*;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Self-emp-inc;187702;Higher education;15;Married-civ-spouse;*;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Private;199029;Higher education;13;Married-civ-spouse;*;Husband;White;Male;0;2415;55;North America;>50K
[41, 60];Self-emp-not-inc;145290;Secondary education;9;Married-civ-spouse;*;Husband;White;Male;0;2415;50;North America;>50K
[41, 60];Local-gov;297248;Higher education;15;Married-civ-spouse;*;Husband;White;Male;0;2415;45;North America;>50K
[41, 60];Self-emp-inc;227856;Higher education;13;Married-civ-spouse;*;Husband;White;Male;0;2415;50;North America;>50K
[21, 40];Private;179731;Higher education;14;Married-civ-spouse;*;Wife;White;Female;0;2415;65;North America;>50K
[41, 60];Private;154374;Higher education;13;Married-civ-spouse;*;Husband;White;Male;0;2415;60;North America;>50K
[41, 60];Private;326857;Higher education;14;Married-civ-spouse;*;Husband;White;Male;0;2415;65;North America;>50K
[21, 40];Private;160369;Higher education;14;Married-civ-spouse;*;Husband;White;Male;0;2415;45;North America;>50K
[21, 40];Private;396745;Higher education;13;Married-civ-spouse;*;Husband;White;Male;0;2415;48;North America;>50K
[41, 60];Self-emp-inc;151089;Higher education;10;Married-civ-spouse;*;Husband;White;Male;0;2415;55;North America;>50K
[41, 60];Self-emp-inc;336188;Higher education;15;Married-civ-spouse;*;Husband;White;Male;0;2415;80;North America;>50K
[21, 40];Private;279015;Higher education;14;Married-civ-spouse;*;Husband;White;Male;0;2415;70;Asia;>50K
[41, 60];Self-emp-not-inc;43221;Higher education;10;Married-civ-spouse;*;Husband;White;Male;0;2415;40;North America;>50K
