age;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;salary-class
*;*;132870;*;9;Spouse not present;Nontechnical;Not-in-family;*;Female;0;4356;18;*;<=50K
*;*;140359;*;4;Spouse not present;Technical;Unmarried;*;Female;0;3900;40;*;<=50K
*;*;264663;*;10;Spouse not present;Technical;Own-child;*;Female;0;3900;40;*;<=50K
*;*;216864;*;9;Spouse not present;Other;Unmarried;*;Female;0;3770;45;*;<=50K
*;*;150601;*;6;Spouse not present;Other;Unmarried;*;Male;0;3770;40;*;<=50K
*;*;88638;*;16;Spouse not present;Technical;Other-relative;*;Female;0;3683;20;*;>50K
*;*;422013;*;9;Spouse not present;Technical;Not-in-family;*;Female;0;3683;40;*;<=50K
*;*;172274;*;16;Spouse not present;Technical;Unmarried;*;Female;0;3004;35;*;>50K
*;*;164526;*;15;Spouse not present;Technical;Not-in-family;*;Male;0;2824;45;*;>50K
*;*;129177;*;13;Spouse not present;Other;Not-in-family;*;Female;0;2824;20;*;>50K
*;*;136204;*;14;Spouse not present;Nontechnical;Not-in-family;*;Male;0;2824;55;*;>50K
*;*;45363;*;15;Spouse not present;Technical;Not-in-family;*;Male;0;2824;40;*;>50K
*;*;172822;*;7;Spouse not present;Other;Not-in-family;*;Male;0;2824;76;*;>50K
*;*;317847;*;14;Spouse not present;Nontechnical;Not-in-family;*;Male;0;2824;50;*;>50K
*;*;203034;*;13;Spouse not present;Nontechnical;Not-in-family;*;Male;0;2824;50;*;>50K
*;*;188774;*;13;Spouse not present;Nontechnical;Not-in-family;*;Male;0;2824;40;*;>50K
*;*;77009;*;7;Spouse not present;Nontechnical;Not-in-family;*;Female;0;2754;42;*;<=50K
*;*;29059;*;9;Spouse not present;Nontechnical;Unmarried;*;Female;0;2754;25;*;<=50K
*;*;153870;*;10;Spouse present;Other;Husband;*;Male;0;2603;40;*;<=50K
*;*;34310;*;11;Spouse present;Technical;Husband;*;Male;0;2603;40;*;<=50K
*;*;228696;*;2;Spouse present;Technical;Not-in-family;*;Male;0;2603;32;*;<=50K
*;*;122066;*;3;Spouse present;Other;Husband;*;Male;0;2603;40;*;<=50K
*;*;107164;*;6;Spouse not present;Other;Not-in-family;*;Male;0;2559;50;*;>50K
*;*;175360;*;6;Spouse not present;Technical;Not-in-family;*;Male;0;2559;90;*;>50K
*;*;44064;*;10;Spouse not present;Other;Not-in-family;*;Male;0;2559;40;*;>50K
*;*;107287;*;6;Spouse not present;Nontechnical;Unmarried;*;Female;0;2559;50;*;>50K
*;*;198863;*;15;Spouse not present;Nontechnical;Not-in-family;*;Male;0;2559;60;*;>50K
*;*;123011;*;13;Spouse not present;Nontechnical;Not-in-family;*;Male;0;2559;50;*;>50K
*;*;205246;*;9;Spouse not present;Nontechnical;Not-in-family;*;Male;0;2559;50;*;>50K
*;*;39181;*;16;Spouse not present;Nontechnical;Not-in-family;*;Female;0;2559;60;*;>50K
*;*;149650;*;9;Spouse not present;Nontechnical;Not-in-family;*;Male;0;2559;48;*;>50K
*;*;197163;*;15;Spouse not present;Technical;Not-in-family;*;Female;0;2559;50;*;>50K
*;*;137527;*;16;Spouse not present;Technical;Not-in-family;*;Female;0;2559;60;*;>50K
*;*;161691;*;14;Spouse not present;Technical;Not-in-family;*;Female;0;2559;40;*;>50K
*;*;326232;*;13;Spouse not present;Nontechnical;Unmarried;*;Male;0;2547;50;*;>50K
*;*;115806;*;14;Spouse not present;Nontechnical;Unmarried;*;Female;0;2547;40;*;>50K
*;*;115066;*;10;Spouse not present;Other;Unmarried;*;Female;0;2547;40;*;>50K
*;*;289669;*;14;Spouse not present;Technical;Unmarried;*;Female;0;2547;40;*;>50K
*;*;121253;*;13;Spouse not present;Nontechnical;Unmarried;*;Female;0;2472;70;*;>50K
*;*;110380;*;9;Spouse present;Nontechnical;Husband;*;Male;0;2467;52;*;<=50K
*;*;233882;*;9;Spouse present;Other;Husband;*;Male;0;2457;40;*;<=50K
*;*;335549;*;15;Spouse not present;Technical;Not-in-family;*;Male;0;2444;45;*;>50K
*;*;237729;*;9;Spouse not present;Nontechnical;Not-in-family;*;Female;0;2444;72;*;>50K
*;*;68898;*;11;Spouse not present;Technical;Not-in-family;*;Male;0;2444;39;*;>50K
*;*;107276;*;10;Spouse not present;Nontechnical;Not-in-family;*;Female;0;2444;40;*;>50K
*;*;141584;*;14;Spouse not present;Nontechnical;Not-in-family;*;Male;0;2444;45;*;>50K
*;*;207668;*;13;Spouse not present;Nontechnical;Other-relative;*;Male;0;2444;50;*;>50K
*;*;313243;*;10;Spouse not present;Technical;Not-in-family;*;Male;0;2444;45;*;>50K
*;*;147372;*;10;Spouse not present;Other;Not-in-family;*;Male;0;2444;40;*;>50K
*;*;237608;*;13;Spouse not present;Nontechnical;Not-in-family;*;Female;0;2444;45;*;>50K
*;*;194901;*;11;Spouse not present;Technical;Not-in-family;*;Male;0;2444;42;*;>50K
*;*;155106;*;12;Spouse not present;Technical;Not-in-family;*;Male;0;2444;70;*;>50K
*;*;121441;*;7;Spouse not present;Nontechnical;Other-relative;*;Male;0;2444;40;*;>50K
*;*;162028;*;10;Spouse present;Other;Wife;*;Female;0;2415;6;*;>50K
*;*;160724;*;13;Spouse present;Nontechnical;Husband;*;Male;0;2415;40;*;>50K
*;*;132222;*;15;Spouse present;Technical;Husband;*;Male;0;2415;40;*;>50K
*;*;329980;*;14;Spouse present;Nontechnical;Husband;*;Male;0;2415;60;*;>50K
*;*;124137;*;15;Spouse present;Technical;Husband;*;Male;0;2415;35;*;>50K
*;*;329980;*;13;Spouse present;Nontechnical;Husband;*;Male;0;2415;60;*;>50K
*;*;187702;*;15;Spouse present;Technical;Husband;*;Male;0;2415;60;*;>50K
*;*;199029;*;13;Spouse present;Nontechnical;Husband;*;Male;0;2415;55;*;>50K
*;*;145290;*;9;Spouse present;Nontechnical;Husband;*;Male;0;2415;50;*;>50K
*;*;297248;*;15;Spouse present;Technical;Husband;*;Male;0;2415;45;*;>50K
*;*;227856;*;13;Spouse present;Nontechnical;Husband;*;Male;0;2415;50;*;>50K
*;*;179731;*;14;Spouse present;Nontechnical;Wife;*;Female;0;2415;65;*;>50K
*;*;154374;*;13;Spouse present;Nontechnical;Husband;*;Male;0;2415;60;*;>50K
*;*;326857;*;14;Spouse present;Nontechnical;Husband;*;Male;0;2415;65;*;>50K
*;*;160369;*;14;Spouse present;Nontechnical;Husband;*;Male;0;2415;45;*;>50K
*;*;396745;*;13;Spouse present;Technical;Husband;*;Male;0;2415;48;*;>50K
*;*;151089;*;10;Spouse present;Nontechnical;Husband;*;Male;0;2415;55;*;>50K
*;*;336188;*;15;Spouse present;Technical;Husband;*;Male;0;2415;80;*;>50K
*;*;279015;*;14;Spouse present;Nontechnical;Husband;*;Male;0;2415;70;*;>50K
*;*;43221;*;10;Spouse present;Other;Husband;*;Male;0;2415;40;*;>50K
*;*;30529;*;13;Spouse present;Nontechnical;Husband;*;Male;0;2415;50;*;>50K
